,icml_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_a,icml_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_b,icml_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_a,icml_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_b,icml_OBL2/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_a,icml_OBL2/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_b,icml_OBL2/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_a,icml_OBL2/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_b,icml_OBL3/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_a,icml_OBL3/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_b,icml_OBL3/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_a,icml_OBL3/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_b,icml_OBL4/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_b,icml_OBL4/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_a,icml_OBL4/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA1_BELIEF_b,icml_OBL4/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_a,icml_OBL5/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_a,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_d,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_e,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_c,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_d,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_e,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_c,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA1_BELIEF_b,icml_run3_OBL1/OFF_BELIEF1_SHUFFLE_COLOR0_BZA0_BELIEF_a,icml_OBL5/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_d,icml_OBL5/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_b,icml_OBL5/OFF_BELIEF1_SHUFFLE_COLOR0_LOAD1_BZA0_BELIEF_c,iql-op0-lstmlayers1-seed100,iql-op1-lstmlayers2-seed100,vdn-op0-lstmlayers2-seed100,vdn-op1-lstmlayers2-seed100,iql-op1-lstmlayers1-seed100,vdn-op0-lstmlayers1-seed100,iql-op0-lstmlayers2-seed101,vdn-op1-lstmlayers1-seed100,iql-op0-lstmlayers1-seed101,iql-op1-lstmlayers1-seed101,iql-op1-lstmlayers2-seed101,vdn-op1-lstmlayers2-seed101
0,20.938,20.838,20.65,21.046,21.383,21.014,21.313,21.276,20.714,20.73,20.935,20.601,19.032,20.289,20.683,19.856,19.493,20.654,20.994,20.839,20.713,20.733,20.637,20.838,20.938,19.276,18.891,18.699,5.097,7.023,2.406,0.551,5.294,4.447,6.554,2.964,5.049,5.744,4.6,3.462
1,20.843,21.302,21.15,20.738,21.488,21.297,21.33,21.693,20.3,21.537,20.654,20.084,18.975,20.404,20.737,19.588,18.518,20.962,21.201,21.004,20.685,20.708,21.213,21.302,20.843,18.93,17.677,17.85,4.361,5.936,2.046,0.273,4.806,3.647,5.985,2.419,4.366,4.668,3.936,3.044
2,20.659,21.026,21.285,21.102,21.921,20.776,21.265,21.523,20.185,21.212,20.797,19.874,18.912,19.8,20.797,19.25,18.439,21.015,21.077,20.998,20.411,20.859,21.078,21.026,20.659,18.974,18.092,18.12,3.513,5.463,1.613,0.211,4.007,2.959,5.915,2.185,4.043,4.677,3.672,2.721
3,20.807,20.983,20.656,21.111,21.324,21.406,21.248,21.203,20.4,20.574,20.88,20.084,19.274,19.881,20.261,19.823,19.27,20.592,21.018,20.882,20.88,21.045,20.801,20.983,20.807,19.026,18.203,18.684,4.134,5.434,1.781,0.388,4.453,3.277,5.508,2.026,3.949,4.542,3.708,2.76
4,21.347,21.67,21.832,21.309,23.523,23.252,23.317,23.312,23.212,23.334,23.585,23.112,22.867,23.382,23.49,22.837,22.471,21.528,21.695,21.309,21.262,21.363,21.69,21.67,21.347,22.469,22.538,22.548,6.142,8.991,2.875,0.136,8.013,4.085,8.706,2.883,7.771,7.333,4.832,3.817
5,21.1,20.751,20.908,21.305,23.152,23.44,23.322,23.195,23.478,23.292,23.295,23.487,23.433,23.247,23.275,23.401,23.152,20.883,21.102,21.388,20.641,20.945,20.885,20.751,21.108,22.878,23.147,22.932,6.21,8.628,3.588,0.391,7.429,4.98,8.346,3.941,7.122,7.247,4.23,3.743
6,21.311,21.336,21.134,21.292,23.149,23.414,23.479,23.055,23.6,23.196,23.162,23.294,23.257,23.314,23.219,23.355,23.011,20.933,21.216,21.271,20.791,21.271,21.146,21.336,21.311,22.654,23.095,23.027,6.317,8.466,2.789,0.349,6.67,4.902,8.549,3.488,7.347,7.312,5.241,4.043
7,21.157,21.816,21.464,21.557,23.32,23.247,23.116,23.379,23.197,23.308,23.287,23.134,22.837,23.197,23.463,22.988,22.705,21.578,21.734,21.349,21.101,21.145,21.582,21.816,21.157,22.79,22.523,22.518,7.238,10.569,4.557,0.249,9.043,5.337,9.515,4.938,9.031,8.049,5.898,4.511
8,20.667,20.583,20.258,20.754,23.229,23.514,23.486,23.228,23.921,23.535,23.625,23.757,23.788,23.725,23.826,23.891,23.917,20.212,20.536,20.517,20.282,20.459,19.867,20.584,20.667,23.505,23.742,23.669,6.223,8.518,3.469,0.223,6.576,5.054,8.203,3.233,7.056,7.225,4.857,3.86
9,20.668,21.262,20.752,20.84,23.36,23.171,23.284,23.342,23.475,23.823,23.511,23.459,23.338,23.543,23.755,23.27,22.957,20.947,20.836,20.824,20.416,20.568,20.755,21.262,20.668,23.416,23.012,22.952,6.794,10.955,3.721,0.336,9.12,5.308,10.094,4.122,9.242,8.304,6.898,5.046
