"num_samples","batchsize: 8 (Batchsize: partner: OBL5) - _step","batchsize: 8 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 8 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 8 (Batchsize: partner: OBL5) - perfect","batchsize: 8 (Batchsize: partner: OBL5) - perfect__MIN","batchsize: 8 (Batchsize: partner: OBL5) - perfect__MAX","batchsize: 16 (Batchsize: partner: OBL5) - _step","batchsize: 16 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 16 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 16 (Batchsize: partner: OBL5) - perfect","batchsize: 16 (Batchsize: partner: OBL5) - perfect__MIN","batchsize: 16 (Batchsize: partner: OBL5) - perfect__MAX","batchsize: 32 (Batchsize: partner: OBL5) - _step","batchsize: 32 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 32 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 32 (Batchsize: partner: OBL5) - perfect","batchsize: 32 (Batchsize: partner: OBL5) - perfect__MIN","batchsize: 32 (Batchsize: partner: OBL5) - perfect__MAX","batchsize: 64 (Batchsize: partner: OBL5) - _step","batchsize: 64 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 64 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 64 (Batchsize: partner: OBL5) - perfect","batchsize: 64 (Batchsize: partner: OBL5) - perfect__MIN","batchsize: 64 (Batchsize: partner: OBL5) - perfect__MAX","batchsize: 128 (Batchsize: partner: OBL5) - _step","batchsize: 128 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 128 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 128 (Batchsize: partner: OBL5) - perfect","batchsize: 128 (Batchsize: partner: OBL5) - perfect__MIN","batchsize: 128 (Batchsize: partner: OBL5) - perfect__MAX","batchsize: 256 (Batchsize: partner: OBL5) - _step","batchsize: 256 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 256 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 256 (Batchsize: partner: OBL5) - perfect","batchsize: 256 (Batchsize: partner: OBL5) - perfect__MIN","batchsize: 256 (Batchsize: partner: OBL5) - perfect__MAX","batchsize: 512 (Batchsize: partner: OBL5) - _step","batchsize: 512 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 512 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 512 (Batchsize: partner: OBL5) - perfect","batchsize: 512 (Batchsize: partner: OBL5) - perfect__MIN","batchsize: 512 (Batchsize: partner: OBL5) - perfect__MAX","batchsize: 1024 (Batchsize: partner: OBL5) - _step","batchsize: 1024 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 1024 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 1024 (Batchsize: partner: OBL5) - perfect","batchsize: 1024 (Batchsize: partner: OBL5) - perfect__MIN","batchsize: 1024 (Batchsize: partner: OBL5) - perfect__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14302","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14476","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14604","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14903","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15326","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15439","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15672","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15903","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16260","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16526","","","","","","","","","","","","","1","1","1","0.1","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17560","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"17659","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"17691","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"18718","2","2","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19037","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","",""
"19309","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"19325","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","",""
"19334","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","",""
"19342","2","2","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19460","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","",""
"19523","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","",""
"19604","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","",""
