"num_samples","batchsize: 32 (Batchsize: partner: OBL5) - _step","batchsize: 32 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 32 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 32 (Batchsize: partner: OBL5) - score","batchsize: 32 (Batchsize: partner: OBL5) - score__MIN","batchsize: 32 (Batchsize: partner: OBL5) - score__MAX","batchsize: 64 (Batchsize: partner: OBL5) - _step","batchsize: 64 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 64 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 64 (Batchsize: partner: OBL5) - score","batchsize: 64 (Batchsize: partner: OBL5) - score__MIN","batchsize: 64 (Batchsize: partner: OBL5) - score__MAX","batchsize: 128 (Batchsize: partner: OBL5) - _step","batchsize: 128 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 128 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 128 (Batchsize: partner: OBL5) - score","batchsize: 128 (Batchsize: partner: OBL5) - score__MIN","batchsize: 128 (Batchsize: partner: OBL5) - score__MAX","batchsize: 256 (Batchsize: partner: OBL5) - _step","batchsize: 256 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 256 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 256 (Batchsize: partner: OBL5) - score","batchsize: 256 (Batchsize: partner: OBL5) - score__MIN","batchsize: 256 (Batchsize: partner: OBL5) - score__MAX","batchsize: 512 (Batchsize: partner: OBL5) - _step","batchsize: 512 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 512 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 512 (Batchsize: partner: OBL5) - score","batchsize: 512 (Batchsize: partner: OBL5) - score__MIN","batchsize: 512 (Batchsize: partner: OBL5) - score__MAX","batchsize: 1024 (Batchsize: partner: OBL5) - _step","batchsize: 1024 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 1024 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 1024 (Batchsize: partner: OBL5) - score","batchsize: 1024 (Batchsize: partner: OBL5) - score__MIN","batchsize: 1024 (Batchsize: partner: OBL5) - score__MAX"
"0","0","0","0","3.405","3.405","3.405","0","0","0","3.405","3.405","3.405","0","0","0","3.4050000000000002","3.405","3.405","0","0","0","3.405","3.405","3.405","0","0","0","3.405","3.405","3.405","0","0","0","3.405","3.405","3.405"
"15903","1","1","1","9.641","9.641","9.641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16260","1","1","1","10.49","10.49","10.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16526","1","1","1","10.062","10.062","10.062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17560","","","","","","","1","1","1","10.682","10.682","10.682","","","","","","","","","","","","","","","","","","","","","","","",""
"17659","","","","","","","1","1","1","10.712","10.712","10.712","","","","","","","","","","","","","","","","","","","","","","","",""
"17691","","","","","","","1","1","1","10.195","10.195","10.195","","","","","","","","","","","","","","","","","","","","","","","",""
"19037","","","","","","","","","","","","","1","1","1","10.737","10.737","10.737","","","","","","","","","","","","","","","","","",""
"19309","","","","","","","","","","","","","1","1","1","10.862","10.862","10.862","","","","","","","","","","","","","","","","","",""
"19325","","","","","","","","","","","","","1","1","1","10.755","10.755","10.755","","","","","","","","","","","","","","","","","",""
"19334","","","","","","","","","","","","","1","1","1","10.522","10.522","10.522","","","","","","","","","","","","","","","","","",""
"19460","","","","","","","","","","","","","1","1","1","10.357","10.357","10.357","","","","","","","","","","","","","","","","","",""
"19523","","","","","","","","","","","","","1","1","1","10.583","10.583","10.583","","","","","","","","","","","","","","","","","",""
"19604","","","","","","","","","","","","","1","1","1","10.881","10.881","10.881","","","","","","","","","","","","","","","","","",""
"19737","","","","","","","","","","","","","1","1","1","10.776","10.776","10.776","","","","","","","","","","","","","","","","","",""
"22182","2","2","2","10.843","10.843","10.843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22720","2","2","2","10.682","10.682","10.682","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23417","2","2","2","10.813","10.813","10.813","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
