"num_samples","replay_buffer_size: 20000 (Replay size: partner OBL5) - _step","replay_buffer_size: 20000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 20000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 20000 (Replay size: partner OBL5) - perfect","replay_buffer_size: 20000 (Replay size: partner OBL5) - perfect__MIN","replay_buffer_size: 20000 (Replay size: partner OBL5) - perfect__MAX","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 50000 (Replay size: partner OBL5) - perfect","replay_buffer_size: 50000 (Replay size: partner OBL5) - perfect__MIN","replay_buffer_size: 50000 (Replay size: partner OBL5) - perfect__MAX","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 100000 (Replay size: partner OBL5) - perfect","replay_buffer_size: 100000 (Replay size: partner OBL5) - perfect__MIN","replay_buffer_size: 100000 (Replay size: partner OBL5) - perfect__MAX","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 150000 (Replay size: partner OBL5) - perfect","replay_buffer_size: 150000 (Replay size: partner OBL5) - perfect__MIN","replay_buffer_size: 150000 (Replay size: partner OBL5) - perfect__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19037","","","","","","","","","","","","","1","1","1","0","0","0","","","","","",""
"19095","","","","","","","1","1","1","0.1","0.1","0.1","","","","","","","","","","","",""
"19151","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0"
"19271","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0"
"19289","","","","","","","1","1","1","0","0","0","","","","","","","","","","","",""
"19309","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2","","","","","",""
"19325","","","","","","","","","","","","","1","1","1","0","0","0","","","","","",""
"19334","","","","","","","","","","","","","1","1","1","0","0","0","","","","","",""
"19417","1","1","1","0","0","0","","","","","","","","","","","","","","","","","",""
"19442","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0"
"19460","","","","","","","","","","","","","1","1","1","0","0","0","","","","","",""
"19523","","","","","","","","","","","","","1","1","1","0","0","0","","","","","",""
"19604","","","","","","","","","","","","","1","1","1","0","0","0","","","","","",""
"19629","","","","","","","1","1","1","0","0","0","","","","","","","","","","","",""
"19676","1","1","1","0","0","0","","","","","","","","","","","","","","","","","",""
"19737","","","","","","","","","","","","","1","1","1","0","0","0","","","","","",""
"20584","1","1","1","0","0","0","","","","","","","","","","","","","","","","","",""
"27742","","","","","","","","","","","","","2","2","2","0","0","0","","","","","",""
"28286","","","","","","","2","2","2","0.1","0.1","0.1","","","","","","","","","","","",""
"28487","","","","","","","","","","","","","2","2","2","0","0","0","","","","","",""
"28509","","","","","","","","","","","","","","","","","","","2","2","2","0.1","0.1","0.1"
"28606","","","","","","","","","","","","","2","2","2","0.1","0.1","0.1","","","","","",""
"28678","","","","","","","","","","","","","2","2","2","0","0","0","","","","","",""
"28863","","","","","","","","","","","","","2","2","2","0","0","0","","","","","",""
"28909","","","","","","","2","2","2","0","0","0","","","","","","","","","","","",""
"28992","","","","","","","","","","","","","","","","","","","2","2","2","0.1","0.1","0.1"
"29009","","","","","","","","","","","","","2","2","2","0","0","0","","","","","",""
"29143","","","","","","","","","","","","","2","2","2","0","0","0","","","","","",""
"29166","","","","","","","","","","","","","","","","","","","2","2","2","0","0","0"
"29213","","","","","","","2","2","2","0.1","0.1","0.1","","","","","","","","","","","",""
"29333","","","","","","","","","","","","","2","2","2","0","0","0","","","","","",""
"30167","2","2","2","0","0","0","","","","","","","","","","","","","","","","","",""
"30384","2","2","2","0","0","0","","","","","","","","","","","","","","","","","",""
"30904","2","2","2","0.1","0.1","0.1","","","","","","","","","","","","","","","","","",""
"37045","","","","","","","","","","","","","3","3","3","0","0","0","","","","","",""
"37630","","","","","","","3","3","3","0.1","0.1","0.1","","","","","","","","","","","",""
"37937","","","","","","","","","","","","","","","","","","","3","3","3","0.1","0.1","0.1"
"38082","","","","","","","","","","","","","3","3","3","0","0","0","","","","","",""
"38118","","","","","","","","","","","","","3","3","3","0","0","0","","","","","",""
"38359","","","","","","","","","","","","","3","3","3","0","0","0","","","","","",""
"38479","","","","","","","","","","","","","","","","","","","3","3","3","0.1","0.1","0.1"
"38605","","","","","","","","","","","","","3","3","3","0","0","0","","","","","",""
"38645","","","","","","","","","","","","","","","","","","","3","3","3","0.1","0.1","0.1"
"38667","","","","","","","","","","","","","3","3","3","0.2","0.2","0.2","","","","","",""
"38682","","","","","","","3","3","3","0","0","0","","","","","","","","","","","",""
"38763","","","","","","","3","3","3","0","0","0","","","","","","","","","","","",""
"38879","","","","","","","","","","","","","3","3","3","0","0","0","","","","","",""
"38936","","","","","","","","","","","","","3","3","3","0.1","0.1","0.1","","","","","",""
"40699","3","3","3","0.1","0.1","0.1","","","","","","","","","","","","","","","","","",""
"42148","3","3","3","0.1","0.1","0.1","","","","","","","","","","","","","","","","","",""
"43438","3","3","3","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"46491","","","","","","","","","","","","","4","4","4","0","0","0","","","","","",""
"47313","","","","","","","","","","","","","","","","","","","4","4","4","0","0","0"
"47360","","","","","","","4","4","4","0","0","0","","","","","","","","","","","",""
"47393","","","","","","","","","","","","","","","","","","","4","4","4","0.1","0.1","0.1"
"47847","","","","","","","","","","","","","4","4","4","0.1","0.1","0.1","","","","","",""
"47912","","","","","","","","","","","","","4","4","4","0","0","0","","","","","",""
"48050","","","","","","","","","","","","","4","4","4","0","0","0","","","","","",""
"48288","","","","","","","","","","","","","4","4","4","0","0","0","","","","","",""
"48470","","","","","","","","","","","","","","","","","","","4","4","4","0.1","0.1","0.1"
"48521","","","","","","","","","","","","","4","4","4","0","0","0","","","","","",""
"48606","","","","","","","","","","","","","4","4","4","0","0","0","","","","","",""
"48694","","","","","","","4","4","4","0.1","0.1","0.1","","","","","","","","","","","",""
"48774","","","","","","","","","","","","","4","4","4","0","0","0","","","","","",""
"48788","","","","","","","4","4","4","0","0","0","","","","","","","","","","","",""
"50779","4","4","4","0.1","0.1","0.1","","","","","","","","","","","","","","","","","",""
