"num_samples","num_thread: 5 (threads: partner OBL5) - _step","num_thread: 5 (threads: partner OBL5) - _step__MIN","num_thread: 5 (threads: partner OBL5) - _step__MAX","num_thread: 5 (threads: partner OBL5) - score","num_thread: 5 (threads: partner OBL5) - score__MIN","num_thread: 5 (threads: partner OBL5) - score__MAX","num_thread: 10 (threads: partner OBL5) - _step","num_thread: 10 (threads: partner OBL5) - _step__MIN","num_thread: 10 (threads: partner OBL5) - _step__MAX","num_thread: 10 (threads: partner OBL5) - score","num_thread: 10 (threads: partner OBL5) - score__MIN","num_thread: 10 (threads: partner OBL5) - score__MAX","num_thread: 20 (threads: partner OBL5) - _step","num_thread: 20 (threads: partner OBL5) - _step__MIN","num_thread: 20 (threads: partner OBL5) - _step__MAX","num_thread: 20 (threads: partner OBL5) - score","num_thread: 20 (threads: partner OBL5) - score__MIN","num_thread: 20 (threads: partner OBL5) - score__MAX","num_thread: 40 (threads: partner OBL5) - _step","num_thread: 40 (threads: partner OBL5) - _step__MIN","num_thread: 40 (threads: partner OBL5) - _step__MAX","num_thread: 40 (threads: partner OBL5) - score","num_thread: 40 (threads: partner OBL5) - score__MIN","num_thread: 40 (threads: partner OBL5) - score__MAX","num_thread: 80 (threads: partner OBL5) - _step","num_thread: 80 (threads: partner OBL5) - _step__MIN","num_thread: 80 (threads: partner OBL5) - _step__MAX","num_thread: 80 (threads: partner OBL5) - score","num_thread: 80 (threads: partner OBL5) - score__MIN","num_thread: 80 (threads: partner OBL5) - score__MAX","num_thread: 120 (threads: partner OBL5) - _step","num_thread: 120 (threads: partner OBL5) - _step__MIN","num_thread: 120 (threads: partner OBL5) - _step__MAX","num_thread: 120 (threads: partner OBL5) - score","num_thread: 120 (threads: partner OBL5) - score__MIN","num_thread: 120 (threads: partner OBL5) - score__MAX","num_thread: 160 (threads: partner OBL5) - _step","num_thread: 160 (threads: partner OBL5) - _step__MIN","num_thread: 160 (threads: partner OBL5) - _step__MAX","num_thread: 160 (threads: partner OBL5) - score","num_thread: 160 (threads: partner OBL5) - score__MIN","num_thread: 160 (threads: partner OBL5) - score__MAX"
"0","0","0","0","3.405","3.405","3.405","0","0","0","3.405","3.405","3.405","0","0","0","3.4050000000000002","3.405","3.405","0","0","0","3.405","3.405","3.405","0","0","0","3.4050000000000002","3.405","3.405","0","0","0","3.405","3.405","3.405","0","0","0","3.405","3.405","3.405"
"11888","1","1","1","10.7","10.7","10.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11972","1","1","1","10.522","10.522","10.522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11988","1","1","1","10.499","10.499","10.499","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13798","2","2","2","11.087","11.087","11.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13942","2","2","2","10.911","10.911","10.911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13972","2","2","2","10.608","10.608","10.608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14361","","","","","","","1","1","1","10.262","10.262","10.262","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14505","","","","","","","1","1","1","10.356","10.356","10.356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14539","","","","","","","1","1","1","9.708","9.708","9.708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14673","","","","","","","1","1","1","10.901","10.901","10.901","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14704","","","","","","","1","1","1","10.743","10.743","10.743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15748","3","3","3","10.976","10.976","10.976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15916","3","3","3","10.514","10.514","10.514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15961","3","3","3","10.859","10.859","10.859","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17657","4","4","4","11.191","11.191","11.191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
