"num_samples","batchsize: 8 (Batchsize: partner: IQL) - _step","batchsize: 8 (Batchsize: partner: IQL) - _step__MIN","batchsize: 8 (Batchsize: partner: IQL) - _step__MAX","batchsize: 8 (Batchsize: partner: IQL) - score","batchsize: 8 (Batchsize: partner: IQL) - score__MIN","batchsize: 8 (Batchsize: partner: IQL) - score__MAX","batchsize: 16 (Batchsize: partner: IQL) - _step","batchsize: 16 (Batchsize: partner: IQL) - _step__MIN","batchsize: 16 (Batchsize: partner: IQL) - _step__MAX","batchsize: 16 (Batchsize: partner: IQL) - score","batchsize: 16 (Batchsize: partner: IQL) - score__MIN","batchsize: 16 (Batchsize: partner: IQL) - score__MAX","batchsize: 32 (Batchsize: partner: IQL) - _step","batchsize: 32 (Batchsize: partner: IQL) - _step__MIN","batchsize: 32 (Batchsize: partner: IQL) - _step__MAX","batchsize: 32 (Batchsize: partner: IQL) - score","batchsize: 32 (Batchsize: partner: IQL) - score__MIN","batchsize: 32 (Batchsize: partner: IQL) - score__MAX","batchsize: 64 (Batchsize: partner: IQL) - _step","batchsize: 64 (Batchsize: partner: IQL) - _step__MIN","batchsize: 64 (Batchsize: partner: IQL) - _step__MAX","batchsize: 64 (Batchsize: partner: IQL) - score","batchsize: 64 (Batchsize: partner: IQL) - score__MIN","batchsize: 64 (Batchsize: partner: IQL) - score__MAX","batchsize: 128 (Batchsize: partner: IQL) - _step","batchsize: 128 (Batchsize: partner: IQL) - _step__MIN","batchsize: 128 (Batchsize: partner: IQL) - _step__MAX","batchsize: 128 (Batchsize: partner: IQL) - score","batchsize: 128 (Batchsize: partner: IQL) - score__MIN","batchsize: 128 (Batchsize: partner: IQL) - score__MAX","batchsize: 256 (Batchsize: partner: IQL) - _step","batchsize: 256 (Batchsize: partner: IQL) - _step__MIN","batchsize: 256 (Batchsize: partner: IQL) - _step__MAX","batchsize: 256 (Batchsize: partner: IQL) - score","batchsize: 256 (Batchsize: partner: IQL) - score__MIN","batchsize: 256 (Batchsize: partner: IQL) - score__MAX","batchsize: 512 (Batchsize: partner: IQL) - _step","batchsize: 512 (Batchsize: partner: IQL) - _step__MIN","batchsize: 512 (Batchsize: partner: IQL) - _step__MAX","batchsize: 512 (Batchsize: partner: IQL) - score","batchsize: 512 (Batchsize: partner: IQL) - score__MIN","batchsize: 512 (Batchsize: partner: IQL) - score__MAX","batchsize: 1024 (Batchsize: partner: IQL) - _step","batchsize: 1024 (Batchsize: partner: IQL) - _step__MIN","batchsize: 1024 (Batchsize: partner: IQL) - _step__MAX","batchsize: 1024 (Batchsize: partner: IQL) - score","batchsize: 1024 (Batchsize: partner: IQL) - score__MIN","batchsize: 1024 (Batchsize: partner: IQL) - score__MAX"
"0","0","0","0","3.623","3.623","3.623","0","0","0","3.623","3.623","3.623","0","0","0","3.6229999999999998","3.623","3.623","0","0","0","3.6229999999999998","3.623","3.623","0","0","0","3.6229999999999998","3.623","3.623","0","0","0","3.6229999999999998","3.623","3.623","0","0","0","3.6229999999999998","3.623","3.623","0","0","0","3.6229999999999998","3.623","3.623"
"15410","1","1","1","14.139","14.139","14.139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15490","1","1","1","13.675","13.675","13.675","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15875","1","1","1","14.511","14.511","14.511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15877","","","","","","","1","1","1","13.717","13.717","13.717","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15966","1","1","1","13.655","13.655","13.655","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16214","1","1","1","14.091","14.091","14.091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16261","","","","","","","1","1","1","15.282","15.282","15.282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16771","","","","","","","1","1","1","14.749","14.749","14.749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16840","","","","","","","1","1","1","14.411","14.411","14.411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17223","","","","","","","1","1","1","14.065","14.065","14.065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18095","","","","","","","","","","","","","1","1","1","15.438","15.438","15.438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18347","","","","","","","","","","","","","1","1","1","16.118","16.118","16.118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18495","","","","","","","","","","","","","1","1","1","15.125","15.125","15.125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18950","","","","","","","","","","","","","","","","","","","1","1","1","16.618","16.618","16.618","","","","","","","","","","","","","","","","","","","","","","","",""
"19107","","","","","","","","","","","","","","","","","","","1","1","1","16.154","16.154","16.154","","","","","","","","","","","","","","","","","","","","","","","",""
"19341","","","","","","","","","","","","","","","","","","","1","1","1","16.281","16.281","16.281","","","","","","","","","","","","","","","","","","","","","","","",""
"20448","2","2","2","15.707","15.707","15.707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20739","2","2","2","15.377","15.377","15.377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
