"num_samples","lr: 0.00000625 (learning rate: partner IQL) - _step","lr: 0.00000625 (learning rate: partner IQL) - _step__MIN","lr: 0.00000625 (learning rate: partner IQL) - _step__MAX","lr: 0.00000625 (learning rate: partner IQL) - perfect","lr: 0.00000625 (learning rate: partner IQL) - perfect__MIN","lr: 0.00000625 (learning rate: partner IQL) - perfect__MAX","lr: 0.00001 (learning rate: partner IQL) - _step","lr: 0.00001 (learning rate: partner IQL) - _step__MIN","lr: 0.00001 (learning rate: partner IQL) - _step__MAX","lr: 0.00001 (learning rate: partner IQL) - perfect","lr: 0.00001 (learning rate: partner IQL) - perfect__MIN","lr: 0.00001 (learning rate: partner IQL) - perfect__MAX","lr: 0.0000625 (learning rate: partner IQL) - _step","lr: 0.0000625 (learning rate: partner IQL) - _step__MIN","lr: 0.0000625 (learning rate: partner IQL) - _step__MAX","lr: 0.0000625 (learning rate: partner IQL) - perfect","lr: 0.0000625 (learning rate: partner IQL) - perfect__MIN","lr: 0.0000625 (learning rate: partner IQL) - perfect__MAX","lr: 0.0001 (learning rate: partner IQL) - _step","lr: 0.0001 (learning rate: partner IQL) - _step__MIN","lr: 0.0001 (learning rate: partner IQL) - _step__MAX","lr: 0.0001 (learning rate: partner IQL) - perfect","lr: 0.0001 (learning rate: partner IQL) - perfect__MIN","lr: 0.0001 (learning rate: partner IQL) - perfect__MAX","lr: 0.000625 (learning rate: partner IQL) - _step","lr: 0.000625 (learning rate: partner IQL) - _step__MIN","lr: 0.000625 (learning rate: partner IQL) - _step__MAX","lr: 0.000625 (learning rate: partner IQL) - perfect","lr: 0.000625 (learning rate: partner IQL) - perfect__MIN","lr: 0.000625 (learning rate: partner IQL) - perfect__MAX","lr: 0.001 (learning rate: partner IQL) - _step","lr: 0.001 (learning rate: partner IQL) - _step__MIN","lr: 0.001 (learning rate: partner IQL) - _step__MAX","lr: 0.001 (learning rate: partner IQL) - perfect","lr: 0.001 (learning rate: partner IQL) - perfect__MIN","lr: 0.001 (learning rate: partner IQL) - perfect__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36322","","","","","","","","","","","","","","","","","","","1","1","1","0.4","0.4","0.4","","","","","","","","","","","",""
"45217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2"
"46202","1","1","1","0.1","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47516","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.5","0.5","0.5","","","","","",""
"51269","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52604","","","","","","","","","","","","","1","1","1","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","","","","","","","","","","","","","",""
"54730","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","",""
"55283","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"56379","","","","","","","","","","","","","1","1","1","0.5","0.5","0.5","","","","","","","","","","","","","","","","","",""
"59746","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"61109","","","","","","","","","","","","","","","","","","","1","1","1","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","",""
"62954","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.6","0.6","0.6","","","","","",""
"63660","","","","","","","","","","","","","1","1","1","0.3","0.3","0.3","","","","","","","","","","","","","","","","","",""
"64606","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","0.2","0.2","0.2"
"69302","1","1","1","0.1","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.6","0.6","0.6"
"74263","2","2","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
