"num_samples","num_thread: 5 (threads: partner IQL) - _step","num_thread: 5 (threads: partner IQL) - _step__MIN","num_thread: 5 (threads: partner IQL) - _step__MAX","num_thread: 5 (threads: partner IQL) - perfect","num_thread: 5 (threads: partner IQL) - perfect__MIN","num_thread: 5 (threads: partner IQL) - perfect__MAX","num_thread: 10 (threads: partner IQL) - _step","num_thread: 10 (threads: partner IQL) - _step__MIN","num_thread: 10 (threads: partner IQL) - _step__MAX","num_thread: 10 (threads: partner IQL) - perfect","num_thread: 10 (threads: partner IQL) - perfect__MIN","num_thread: 10 (threads: partner IQL) - perfect__MAX","num_thread: 20 (threads: partner IQL) - _step","num_thread: 20 (threads: partner IQL) - _step__MIN","num_thread: 20 (threads: partner IQL) - _step__MAX","num_thread: 20 (threads: partner IQL) - perfect","num_thread: 20 (threads: partner IQL) - perfect__MIN","num_thread: 20 (threads: partner IQL) - perfect__MAX","num_thread: 40 (threads: partner IQL) - _step","num_thread: 40 (threads: partner IQL) - _step__MIN","num_thread: 40 (threads: partner IQL) - _step__MAX","num_thread: 40 (threads: partner IQL) - perfect","num_thread: 40 (threads: partner IQL) - perfect__MIN","num_thread: 40 (threads: partner IQL) - perfect__MAX","num_thread: 80 (threads: partner IQL) - _step","num_thread: 80 (threads: partner IQL) - _step__MIN","num_thread: 80 (threads: partner IQL) - _step__MAX","num_thread: 80 (threads: partner IQL) - perfect","num_thread: 80 (threads: partner IQL) - perfect__MIN","num_thread: 80 (threads: partner IQL) - perfect__MAX","num_thread: 120 (threads: partner IQL) - _step","num_thread: 120 (threads: partner IQL) - _step__MIN","num_thread: 120 (threads: partner IQL) - _step__MAX","num_thread: 120 (threads: partner IQL) - perfect","num_thread: 120 (threads: partner IQL) - perfect__MIN","num_thread: 120 (threads: partner IQL) - perfect__MAX","num_thread: 160 (threads: partner IQL) - _step","num_thread: 160 (threads: partner IQL) - _step__MIN","num_thread: 160 (threads: partner IQL) - _step__MAX","num_thread: 160 (threads: partner IQL) - perfect","num_thread: 160 (threads: partner IQL) - perfect__MIN","num_thread: 160 (threads: partner IQL) - perfect__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12873","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12988","1","1","1","0.3","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13016","1","1","1","0.1","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15237","","","","","","","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15744","2","2","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15933","2","2","2","0.4","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16015","2","2","2","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16267","","","","","","","1","1","1","0.3","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16278","","","","","","","1","1","1","0.5","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18670","3","3","3","0.4","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18829","3","3","3","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19058","3","3","3","0.6","0.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20609","","","","","","","2","2","2","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21189","","","","","","","","","","","","","1","1","1","0.3","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","",""
"21211","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"21240","","","","","","","","","","","","","1","1","1","0.3","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","",""
"21256","","","","","","","","","","","","","1","1","1","0.1","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","",""
"21310","","","","","","","","","","","","","1","1","1","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"21358","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"21463","","","","","","","","","","","","","1","1","1","0.4","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","",""
"21638","4","4","4","0.6","0.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21720","4","4","4","0.5","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22061","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"22091","","","","","","","","","","","","","1","1","1","0.1","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","",""
"22092","4","4","4","0.6","0.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22243","","","","","","","2","2","2","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22359","","","","","","","2","2","2","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24572","5","5","5","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24635","5","5","5","0.6","0.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25130","5","5","5","0.6","0.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25838","","","","","","","3","3","3","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27495","6","6","6","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27557","6","6","6","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27965","","","","","","","3","3","3","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28176","6","6","6","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28639","","","","","","","3","3","3","2.1","2.1","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29235","","","","","","","","","","","","","","","","","","","1","1","1","0.5","0.5","0.5","","","","","","","","","","","","","","","","","",""
"30441","7","7","7","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30478","7","7","7","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30672","","","","","","","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"30796","","","","","","","","","","","","","2","2","2","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","","","","","","","","","","","","","",""
"31122","","","","","","","4","4","4","1.3","1.3","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31204","7","7","7","1.4000000000000001","1.4000000000000001","1.4000000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32429","","","","","","","","","","","","","2","2","2","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","","","","","","","","","","","","","",""
"32452","","","","","","","","","","","","","2","2","2","0.4","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","",""
"32469","","","","","","","","","","","","","2","2","2","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","",""
"32472","","","","","","","","","","","","","2","2","2","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","","","","","","","","","","","","","",""
"32888","","","","","","","","","","","","","2","2","2","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","","","","","","","","","","","","","",""
"33111","","","","","","","","","","","","","2","2","2","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","",""
"33354","8","8","8","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33381","8","8","8","1.4000000000000001","1.4000000000000001","1.4000000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33809","","","","","","","","","","","","","2","2","2","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","",""
"33968","","","","","","","4","4","4","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33994","","","","","","","","","","","","","2","2","2","0.5","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","",""
"34260","8","8","8","1.7000000000000002","1.7000000000000002","1.7000000000000002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34454","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","",""
"34951","","","","","","","4","4","4","1.7000000000000002","1.7000000000000002","1.7000000000000002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36232","9","9","9","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36349","9","9","9","1.7000000000000002","1.7000000000000002","1.7000000000000002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36457","","","","","","","5","5","5","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37242","9","9","9","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39156","10","10","10","1.4000000000000001","1.4000000000000001","1.4000000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39323","10","10","10","1.3","1.3","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39925","","","","","","","5","5","5","1.7000000000000002","1.7000000000000002","1.7000000000000002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.1","0.1","0.1"
"40244","10","10","10","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40813","","","","","","","","","","","","","3","3","3","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","","","","","","","","","","","","","",""
"41147","","","","","","","5","5","5","1.9","1.9","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41687","","","","","","","6","6","6","1.5","1.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42061","11","11","11","1.3","1.3","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42239","11","11","11","2.1","2.1","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43258","11","11","11","1.5","1.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43867","","","","","","","","","","","","","3","3","3","1.5","1.5","1.5","","","","","","","","","","","","","","","","","","","","","","","",""
"43885","","","","","","","","","","","","","3","3","3","2.3","2.3","2.3","","","","","","","","","","","","","","","","","","","","","","","",""
"43887","","","","","","","","","","","","","3","3","3","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","","","","","","","","","","","","","",""
"43933","","","","","","","","","","","","","3","3","3","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","","","","","","","","","","","","","",""
"44509","","","","","","","","","","","","","3","3","3","2.1999999999999997","2.1999999999999997","2.1999999999999997","","","","","","","","","","","","","","","","","","","","","","","",""
"44797","","","","","","","","","","","","","3","3","3","1.3","1.3","1.3","","","","","","","","","","","","","","","","","","","","","","","",""
"44938","12","12","12","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45187","12","12","12","2.4","2.4","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45633","","","","","","","","","","","","","3","3","3","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","",""
"45954","","","","","","","","","","","","","3","3","3","1.9","1.9","1.9","","","","","","","","","","","","","","","","","","","","","","","",""
"45967","","","","","","","6","6","6","2.3","2.3","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46265","12","12","12","2.6","2.6","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46682","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2"
"47120","","","","","","","7","7","7","2.4","2.4","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47398","","","","","","","6","6","6","2.4","2.4","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47887","13","13","13","1.4000000000000001","1.4000000000000001","1.4000000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48091","13","13","13","1.6","1.6","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.3","0.3","0.3","","","","","",""
"49031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2","","","","","",""
"49110","","","","","","","","","","","","","","","","","","","2","2","2","0.8","0.8","0.8","","","","","","","","","","","","","","","","","",""
"49256","13","13","13","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50823","14","14","14","1.3","1.3","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51069","14","14","14","2.1","2.1","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51111","","","","","","","","","","","","","4","4","4","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","",""
"51913","","","","","","","7","7","7","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52243","14","14","14","2.8000000000000003","2.8000000000000003","2.8000000000000003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52430","","","","","","","8","8","8","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52604","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","","","","","","","",""
"53470","","","","","","","7","7","7","2.7","2.7","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53712","15","15","15","2.6","2.6","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54031","15","15","15","2.1","2.1","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55238","","","","","","","","","","","","","","","","","","","2","2","2","1.5","1.5","1.5","","","","","","","","","","","","","","","","","",""
"55283","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.2","0.2","0.2","","","","","","","","","","","",""
"55297","15","15","15","1.4000000000000001","1.4000000000000001","1.4000000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55333","","","","","","","","","","","","","4","4","4","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","","","","","","","","","","","","","",""
"55335","","","","","","","","","","","","","4","4","4","1.9","1.9","1.9","","","","","","","","","","","","","","","","","","","","","","","",""
"55371","","","","","","","","","","","","","4","4","4","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","",""
"55590","","","","","","","","","","","","","4","4","4","2.3","2.3","2.3","","","","","","","","","","","","","","","","","","","","","","","",""
"56038","","","","","","","","","","","","","4","4","4","2.6","2.6","2.6","","","","","","","","","","","","","","","","","","","","","","","",""
"56314","","","","","","","","","","","","","","","","","","","2","2","2","1","1","1","","","","","","","","","","","","","","","","","",""
"56379","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.5","0.5","0.5","","","","","","","","","","","",""
"56632","","","","","","","","","","","","","4","4","4","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","",""
"56635","16","16","16","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56980","16","16","16","1.9","1.9","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57595","","","","","","","","","","","","","4","4","4","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","","","","","","","","","","","","","",""
"57757","","","","","","","9","9","9","2.1999999999999997","2.1999999999999997","2.1999999999999997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57863","","","","","","","","","","","","","4","4","4","2.8000000000000003","2.8000000000000003","2.8000000000000003","","","","","","","","","","","","","","","","","","","","","","","",""
"57955","","","","","","","8","8","8","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58307","16","16","16","1.5","1.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59518","17","17","17","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59785","","","","","","","8","8","8","2.6","2.6","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59882","17","17","17","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61153","","","","","","","","","","","","","5","5","5","2.1","2.1","2.1","","","","","","","","","","","","","","","","","","","","","","","",""
"61322","17","17","17","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62418","18","18","18","2.1","2.1","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62772","18","18","18","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63160","","","","","","","10","10","10","1.3","1.3","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63660","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.3","0.3","0.3","","","","","","","","","","","",""
"63830","","","","","","","9","9","9","2.7","2.7","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64319","18","18","18","1.5","1.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65329","19","19","19","1.7000000000000002","1.7000000000000002","1.7000000000000002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65609","19","19","19","1.9","1.9","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65882","","","","","","","9","9","9","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66498","","","","","","","","","","","","","5","5","5","3.1","3.1","3.1","","","","","","","","","","","","","","","","","","","","","","","",""
"67003","","","","","","","","","","","","","5","5","5","3.5000000000000004","3.5000000000000004","3.5000000000000004","","","","","","","","","","","","","","","","","","","","","","","",""
"67283","","","","","","","","","","","","","5","5","5","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","","","","","","","","","","","","","","","","","","","",""
"67314","19","19","19","1.6","1.6","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67315","","","","","","","","","","","","","5","5","5","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","","","","","","","","","","","","","","","","","","","",""
"67755","","","","","","","","","","","","","5","5","5","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","",""
"67957","","","","","","","","","","","","","","","","","","","3","3","3","2.1999999999999997","2.1999999999999997","2.1999999999999997","","","","","","","","","","","","","","","","","",""
"68245","20","20","20","1.5","1.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
