"num_samples","num_thread: 5 (threads: partner IQL) - _step","num_thread: 5 (threads: partner IQL) - _step__MIN","num_thread: 5 (threads: partner IQL) - _step__MAX","num_thread: 5 (threads: partner IQL) - score","num_thread: 5 (threads: partner IQL) - score__MIN","num_thread: 5 (threads: partner IQL) - score__MAX","num_thread: 10 (threads: partner IQL) - _step","num_thread: 10 (threads: partner IQL) - _step__MIN","num_thread: 10 (threads: partner IQL) - _step__MAX","num_thread: 10 (threads: partner IQL) - score","num_thread: 10 (threads: partner IQL) - score__MIN","num_thread: 10 (threads: partner IQL) - score__MAX","num_thread: 20 (threads: partner IQL) - _step","num_thread: 20 (threads: partner IQL) - _step__MIN","num_thread: 20 (threads: partner IQL) - _step__MAX","num_thread: 20 (threads: partner IQL) - score","num_thread: 20 (threads: partner IQL) - score__MIN","num_thread: 20 (threads: partner IQL) - score__MAX","num_thread: 40 (threads: partner IQL) - _step","num_thread: 40 (threads: partner IQL) - _step__MIN","num_thread: 40 (threads: partner IQL) - _step__MAX","num_thread: 40 (threads: partner IQL) - score","num_thread: 40 (threads: partner IQL) - score__MIN","num_thread: 40 (threads: partner IQL) - score__MAX","num_thread: 80 (threads: partner IQL) - _step","num_thread: 80 (threads: partner IQL) - _step__MIN","num_thread: 80 (threads: partner IQL) - _step__MAX","num_thread: 80 (threads: partner IQL) - score","num_thread: 80 (threads: partner IQL) - score__MIN","num_thread: 80 (threads: partner IQL) - score__MAX","num_thread: 120 (threads: partner IQL) - _step","num_thread: 120 (threads: partner IQL) - _step__MIN","num_thread: 120 (threads: partner IQL) - _step__MAX","num_thread: 120 (threads: partner IQL) - score","num_thread: 120 (threads: partner IQL) - score__MIN","num_thread: 120 (threads: partner IQL) - score__MAX","num_thread: 160 (threads: partner IQL) - _step","num_thread: 160 (threads: partner IQL) - _step__MIN","num_thread: 160 (threads: partner IQL) - _step__MAX","num_thread: 160 (threads: partner IQL) - score","num_thread: 160 (threads: partner IQL) - score__MIN","num_thread: 160 (threads: partner IQL) - score__MAX"
"0","0","0","0","3.6229999999999998","3.623","3.623","0","0","0","3.6229999999999998","3.623","3.623","0","0","0","3.6230000000000007","3.623","3.623","0","0","0","3.6229999999999998","3.623","3.623","0","0","0","3.623","3.623","3.623","0","0","0","3.623","3.623","3.623","0","0","0","3.6229999999999998","3.623","3.623"
"12873","1","1","1","15.985","15.985","15.985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12988","1","1","1","15.886","15.886","15.886","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13016","1","1","1","15.617","15.617","15.617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15237","","","","","","","1","1","1","16.045","16.045","16.045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15744","2","2","2","16.283","16.283","16.283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15933","2","2","2","16.571","16.571","16.571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16015","2","2","2","16.412","16.412","16.412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16267","","","","","","","1","1","1","16.089","16.089","16.089","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16278","","","","","","","1","1","1","16.044","16.044","16.044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18670","3","3","3","17.548","17.548","17.548","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18829","3","3","3","17.288","17.288","17.288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19058","3","3","3","17.535","17.535","17.535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20609","","","","","","","2","2","2","17.209","17.209","17.209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21189","","","","","","","","","","","","","1","1","1","16.559","16.559","16.559","","","","","","","","","","","","","","","","","","","","","","","",""
